Book,Chapter,Verse,Alignment Sequence,Type,Word Sequence,Occurence,Occurences,Word,Strong,Lemma,Morph
Titus,3,1,1,T,1,1,1,Ὑπομίμνῃσκε,G52790,ὑπομιμνῄσκω,"Gr,V,MPA2..S"
Titus,3,1,1,B,1,1,1,Remind,,,
Titus,3,1,2,T,1,1,1,αὐτοὺς,G08460,αὐτός,"Gr,R,...3AMP"
Titus,3,1,2,B,1,1,2,them,,,
Titus,3,1,3,T,1,1,1,ἀρχαῖς,G07460,ἀρχή,"Gr,N,....DFP"
Titus,3,1,3,B,1,2,4,to,,,
Titus,3,1,3,B,2,1,1,rulers,,,
Titus,3,1,4,T,1,1,1,ἐξουσίαις,G18490,ἐξουσία,"Gr,N,....DFP"
Titus,3,1,4,B,1,1,1,and,,,
Titus,3,1,4,B,2,1,1,authorities,,,
Titus,3,1,5,T,1,1,1,ὑποτάσσεσθαι,G52930,ὑποτάσσω,"Gr,V,NPM...."
Titus,3,1,5,B,1,1,4,to,,,
Titus,3,1,5,B,2,1,1,submit,,,
Titus,3,1,6,T,1,1,1,πειθαρχεῖν,G39800,πειθαρχέω,"Gr,V,NPA...."
Titus,3,1,6,B,1,3,4,to,,,
Titus,3,1,6,B,2,1,1,obey,,,
Titus,3,1,6,B,3,2,2,them,,,
Titus,3,1,7,T,1,1,1,πρὸς,G43140,πρός,"Gr,P,......."
Titus,3,1,7,B,1,1,1,for,,,
Titus,3,1,8,T,1,1,1,πᾶν,G39560,πᾶς,"Gr,E,....ANS"
Titus,3,1,8,B,1,1,1,every,,,
Titus,3,1,9,T,1,1,1,ἔργον,G20410,ἔργον,"Gr,N,....ANS"
Titus,3,1,9,B,1,1,1,work,,,
Titus,3,1,10,T,1,1,1,ἀγαθὸν,G00180,ἀγαθός,"Gr,A,....ANS"
Titus,3,1,10,B,1,1,1,good,,,
Titus,3,1,11,T,1,1,1,ἑτοίμους,G20920,ἕτοιμος,"Gr,S,....AMP"
Titus,3,1,11,B,1,1,1,ready,,,
Titus,3,1,12,T,1,1,1,εἶναι,G15100,εἰμί,"Gr,V,NPA...."
Titus,3,1,12,B,1,4,4,to,,,
Titus,3,1,12,B,2,1,1,be,,,
Titus,3,2,1,T,1,1,1,μηδένα,G33670,μηδείς,"Gr,R,....AMS"
Titus,3,2,1,B,1,1,1,no,,,
Titus,3,2,1,B,2,1,1,one,,,
Titus,3,2,2,T,1,1,1,βλασφημεῖν,G09870,βλασφημέω,"Gr,V,NPA...."
Titus,3,2,2,B,1,1,2,to,,,
Titus,3,2,2,B,2,1,1,revile,,,
Titus,3,2,3,T,1,1,1,ἀμάχους,G02690,ἄμαχος,"Gr,S,....AMP"
Titus,3,2,3,B,1,1,1,uncontentious,,,
Titus,3,2,4,T,1,1,1,εἶναι,G15100,εἰμί,"Gr,V,NPA...."
Titus,3,2,4,B,1,2,2,to,,,
Titus,3,2,4,B,2,1,1,be,,,
Titus,3,2,5,T,1,1,1,ἐπιεικεῖς,G19330,ἐπιεικής,"Gr,S,....AMP"
Titus,3,2,5,B,1,1,1,gentle,,,
Titus,3,2,6,T,1,1,1,πᾶσαν,G39560,πᾶς,"Gr,E,....AFS"
Titus,3,2,6,B,1,1,2,all,,,
Titus,3,2,7,T,1,1,1,ἐνδεικνυμένους,G17310,ἐνδείκνυμι,"Gr,V,PPM.AMP"
Titus,3,2,7,B,1,1,1,showing,,,
Titus,3,2,8,T,1,1,1,πραΰτητα,G42400,πραΰτης,"Gr,N,....AFS"
Titus,3,2,8,B,1,1,1,humility,,,
Titus,3,2,9,T,1,1,1,πρὸς,G43140,πρός,"Gr,P,......."
Titus,3,2,9,B,1,1,1,toward,,,
Titus,3,2,10,T,1,1,1,πάντας,G39560,πᾶς,"Gr,E,....AMP"
Titus,3,2,10,B,1,2,2,all,,,
Titus,3,2,11,T,1,1,1,ἀνθρώπους,G04440,ἄνθρωπος,"Gr,N,....AMP"
Titus,3,2,11,B,1,1,1,men,,,
Titus,3,3,1,T,1,1,1,Ἦμεν,G15100,εἰμί,"Gr,V,IIA1..P"
Titus,3,3,1,B,1,1,2,were,,,
Titus,3,3,2,T,1,1,1,γάρ,G10630,γάρ,"Gr,C,......."
Titus,3,3,2,B,1,1,1,For,,,
Titus,3,3,3,T,1,1,1,ποτε,G42180,ποτέ,"Gr,D,......."
Titus,3,3,3,B,1,1,1,once,,,
Titus,3,3,4,T,1,1,3,καὶ,G25320,καί,"Gr,D,......."
Titus,3,3,4,B,1,1,1,also,,,
Titus,3,3,5,T,1,1,1,ἡμεῖς,G14730,ἡμεῖς,"Gr,R,...1N.P"
Titus,3,3,5,B,1,1,1,we,,,
Titus,3,3,6,T,1,1,1,ἀνόητοι,G04530,ἀνόητος,"Gr,S,....NMP"
Titus,3,3,6,B,1,1,1,foolish,,,
Titus,3,3,7,T,1,1,1,ἀπειθεῖς,G05450,ἀπειθής,"Gr,S,....NMP"
Titus,3,3,7,B,1,1,5,and,,,
Titus,3,3,7,B,2,1,1,disobedient,,,
Titus,3,3,8,T,1,1,1,πλανώμενοι,G41050,πλανάω,"Gr,V,PPP.NMP"
Titus,3,3,8,B,1,1,2,We,,,
Titus,3,3,8,B,2,2,2,were,,,
Titus,3,3,8,B,3,1,1,led,,,
Titus,3,3,8,B,4,1,1,astray,,,
Titus,3,3,9,T,1,1,1,δουλεύοντες,G13980,δουλεύω,"Gr,V,PPA.NMP"
Titus,3,3,9,B,1,2,5,and,,,
Titus,3,3,9,B,2,1,1,enslaved,,,
Titus,3,3,10,T,1,1,1,ἐπιθυμίαις,G19390,ἐπιθυμία,"Gr,N,....DFP"
Titus,3,3,10,B,1,1,1,passions,,,
